Name,Shape,Start,Count,Constant Shape,Time,Selection Size,SizeofVariable,ShapeID,Steps,StepStart,BlockID,OrderKey,OrderOrder
atoms,32000 5,24000 0,4000 5,False,18: 46: 10,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,24000 0,4000 5,False,18: 46: 14,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 10,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,12000 0,4000 5,False,18: 46: 14,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 10,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,20000 0,4000 5,False,18: 46: 14,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 10,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 12,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 13,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,8000 0,4000 5,False,18: 46: 14,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 5,4000 0,4000 5,False,18: 46: 10,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,4000 0,4000 5,False,18: 46: 11,20000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
